slug,matching_criteria,new_criteria
how-to-prepare-for-a-no-deal-brexit-33edd153a9,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""electronic-machinery"",""install-service-repair"",""import-from-eu"",""export-to-eu"",""provide-services-do-business-in-eu"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-ie"",""visiting-eu"",""visiting-row"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""electronic-machinery"",""install-service-repair"",""import-from-eu"",""export-to-eu"",""provide-services-do-business-in-eu"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-ie"",""visiting-eu"",""visiting-row"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
how-to-prepare-for-a-no-deal-brexit-4277a7f493,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""ip"",""ip-patents"",""sell-public-sector"",""sell-public-sector-contracts"",""eu-uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-row"",""travel-eu-business"",""working-uk"",""working-eu"",""living-uk"",""nationality-eu""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""ip"",""ip-patents"",""sell-public-sector"",""sell-public-sector-contracts"",""eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-row"",""travel-eu-business"",""working-uk"",""working-eu"",""living-uk"",""nationality-eu""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
how-to-prepare-for-a-no-deal-brexit-978af9ae56,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""automotive"",""electronic-machinery"",""install-service-repair"",""marine-transport"",""port-airports"",""postal-couriers"",""import-from-eu"",""export-to-eu"",""provide-services-do-business-in-eu"",""do-not-ip"",""do-not-sell-to-public-sector"",""eu-uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation"",""join-family-uk-yes"",""visiting-driving"",""visiting-eu"",""working-eu"",""living-row"",""nationality-row""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""automotive"",""electronic-machinery"",""install-service-repair"",""marine-transport"",""port-airports"",""postal-couriers"",""import-from-eu"",""export-to-eu"",""provide-services-do-business-in-eu"",""do-not-ip"",""do-not-sell-to-public-sector"",""eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation"",""join-family-uk-yes"",""visiting-driving"",""visiting-eu"",""working-eu"",""living-row"",""nationality-row""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
how-to-prepare-for-a-no-deal-brexit-5f1f5662ed,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""aero-space"",""automotive"",""electronic-machinery"",""install-service-repair"",""marine-transport"",""rail-manufacture"",""agriculture-farm"",""animal-ex-food"",""fish-inc-wholesale"",""forestry"",""vet"",""personal-service"",""legal-service"",""charity"",""voluntary"",""construction"",""environment"",""defence"",""electricity"",""nuclear"",""oil-gas-coal"",""renewables"",""media"",""creative"",""gamble"",""sports"",""culture"",""finance"",""insurance"",""real-estate"",""health"",""medical-tech"",""pharma"",""digital"",""telecoms"",""consumer-goods"",""chemical"",""diamond"",""metal"",""mining"",""non-metal-material"",""justice-including-prisons"",""public-administration"",""education"",""research"",""food-drink-tobacco"",""motor-trade"",""retail-wholesale-x-food-drink-motors"",""accommodation"",""restaurants-catering"",""tourism"",""air-passenger-freight"",""port-airports"",""postal-couriers"",""rail-passenger-freight"",""road-passenger-freight"",""warehouse-pipeline"",""import-from-eu"",""export-to-eu"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""ip"",""sell-public-sector"",""eu-uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-bring-pet"",""visiting-ie"",""visiting-eu"",""visiting-row"",""travel-eu-business"",""working-uk"",""studying-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""aero-space"",""automotive"",""electronic-machinery"",""install-service-repair"",""marine-transport"",""rail-manufacture"",""agriculture-farm"",""animal-ex-food"",""fish-inc-wholesale"",""forestry"",""vet"",""personal-service"",""legal-service"",""charity"",""voluntary"",""construction"",""environment"",""defence"",""electricity"",""nuclear"",""oil-gas-coal"",""renewables"",""media"",""creative"",""gamble"",""sports"",""culture"",""finance"",""insurance"",""real-estate"",""health"",""medical-tech"",""pharma"",""digital"",""telecoms"",""consumer-goods"",""chemical"",""diamond"",""metal"",""mining"",""non-metal-material"",""justice-including-prisons"",""public-administration"",""education"",""research"",""food-drink-tobacco"",""motor-trade"",""retail-wholesale-x-food-drink-motors"",""accommodation"",""restaurants-catering"",""tourism"",""air-passenger-freight"",""port-airports"",""postal-couriers"",""rail-passenger-freight"",""road-passenger-freight"",""warehouse-pipeline"",""import-from-eu"",""export-to-eu"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""ip"",""sell-public-sector"",""eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-bring-pet"",""visiting-ie"",""visiting-eu"",""visiting-row"",""travel-eu-business"",""working-uk"",""studying-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
how-to-prepare-for-a-no-deal-brexit-e6137d1937,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""electronic-machinery"",""import-from-eu"",""ip"",""sell-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-eu"",""travel-eu-business-no"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""electronic-machinery"",""import-from-eu"",""ip"",""sell-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-eu"",""travel-eu-business-no"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
how-to-prepare-for-a-no-deal-brexit-482dcea73d,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""charity"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-ie"",""visiting-eu"",""visiting-row"",""travel-eu-business-no"",""working-uk"",""studying-uk"",""living-uk"",""nationality-ie""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""charity"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-ie"",""visiting-eu"",""visiting-row"",""travel-eu-business-no"",""working-uk"",""studying-uk"",""living-uk"",""nationality-ie""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
how-to-prepare-for-a-no-deal-brexit-ebf0939295,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""warehouse-pipeline"",""import-from-eu"",""ip"",""ip-copyright"",""do-not-sell-to-public-sector"",""eu-uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-row"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-eu""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""warehouse-pipeline"",""import-from-eu"",""ip"",""ip-copyright"",""do-not-sell-to-public-sector"",""eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-row"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-eu""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
how-to-prepare-for-a-no-deal-brexit-815afb15e0,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""legal-service"",""provide-services-do-business-in-eu"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""join-family-uk-yes"",""visiting-driving"",""visiting-uk"",""working-eu"",""living-eu"",""nationality-eu""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""legal-service"",""provide-services-do-business-in-eu"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""join-family-uk-yes"",""visiting-driving"",""visiting-uk"",""working-eu"",""living-eu"",""nationality-eu""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
how-to-prepare-for-a-no-deal-brexit-8dd3bce745,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""food-drink-tobacco"",""import-from-eu"",""haulage-goods-across-eu-borders"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-eu"",""travel-eu-business-no"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""food-drink-tobacco"",""import-from-eu"",""haulage-goods-across-eu-borders"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-eu"",""travel-eu-business-no"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
how-to-prepare-for-a-no-deal-brexit-020029e44d,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-eu"",""travel-eu-business"",""working-uk"",""studying-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-eu"",""travel-eu-business"",""working-uk"",""studying-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
how-to-prepare-for-a-no-deal-brexit-51b53c1df3,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""install-service-repair"",""construction"",""media"",""import-from-eu"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""ip"",""sell-public-sector"",""sell-public-sector-contracts"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-eu"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""install-service-repair"",""construction"",""media"",""import-from-eu"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""ip"",""sell-public-sector"",""sell-public-sector-contracts"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-eu"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
how-to-prepare-for-a-no-deal-brexit-6230e0b116,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""digital"",""provide-services-do-business-in-eu"",""ip"",""ip-copyright"",""ip-trade-marks"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-ie"",""visiting-eu"",""visiting-row"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""digital"",""provide-services-do-business-in-eu"",""ip"",""ip-copyright"",""ip-trade-marks"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-ie"",""visiting-eu"",""visiting-row"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
how-to-prepare-for-a-no-deal-brexit-36b42794f0,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""electronic-machinery"",""install-service-repair"",""import-from-eu"",""export-to-eu"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-eu"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-eu""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""electronic-machinery"",""install-service-repair"",""import-from-eu"",""export-to-eu"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-eu"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-eu""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
how-to-prepare-for-a-no-deal-brexit-14152efe67,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""automotive"",""electronic-machinery"",""install-service-repair"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-ie"",""visiting-eu"",""visiting-row"",""travel-eu-business-no"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""automotive"",""electronic-machinery"",""install-service-repair"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-ie"",""visiting-eu"",""visiting-row"",""travel-eu-business-no"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
how-to-prepare-for-a-no-deal-brexit-b67153565b,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""retail-wholesale-x-food-drink-motors"",""import-from-eu"",""export-to-eu"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""ip"",""ip-copyright"",""ip-trade-marks"",""ip-designs"",""ip-patents"",""sell-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation"",""family-eu-no"",""visiting-ie"",""visiting-eu"",""visiting-row"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-row""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""retail-wholesale-x-food-drink-motors"",""import-from-eu"",""export-to-eu"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""ip"",""ip-copyright"",""ip-trade-marks"",""ip-designs"",""ip-patents"",""sell-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation"",""family-eu-no"",""visiting-ie"",""visiting-eu"",""visiting-row"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-row""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-ba7f827afe,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""consumer-goods"",""import-from-eu"",""haulage-goods-across-eu-borders"",""ip"",""sell-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-row"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""consumer-goods"",""import-from-eu"",""haulage-goods-across-eu-borders"",""ip"",""sell-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-row"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-b019c4808c,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""install-service-repair"",""construction"",""environment"",""road-passenger-freight"",""warehouse-pipeline"",""import-from-eu"",""export-to-eu"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""do-not-ip"",""sell-public-sector"",""sell-public-sector-contracts"",""do-not-eu-uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-eu"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""install-service-repair"",""construction"",""environment"",""road-passenger-freight"",""warehouse-pipeline"",""import-from-eu"",""export-to-eu"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""do-not-ip"",""sell-public-sector"",""sell-public-sector-contracts"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-eu"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-3fa542f41c,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""legal-service"",""air-passenger-freight"",""port-airports"",""rail-passenger-freight"",""road-passenger-freight"",""warehouse-pipeline"",""import-from-eu"",""export-to-eu"",""haulage-goods-across-eu-borders"",""do-not-ip"",""sell-public-sector"",""sell-public-sector-contracts"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""travel-eu-business-no"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""legal-service"",""air-passenger-freight"",""port-airports"",""rail-passenger-freight"",""road-passenger-freight"",""warehouse-pipeline"",""import-from-eu"",""export-to-eu"",""haulage-goods-across-eu-borders"",""do-not-ip"",""sell-public-sector"",""sell-public-sector-contracts"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""travel-eu-business-no"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-20225751db,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""import-from-eu"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-ie"",""visiting-eu"",""visiting-row"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""import-from-eu"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-ie"",""visiting-eu"",""visiting-row"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-b8f31f181d,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""medical-tech"",""import-from-eu"",""export-to-eu"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""ip"",""ip-copyright"",""ip-trade-marks"",""ip-designs"",""ip-patents"",""ip-exhaustion-rights"",""sell-public-sector"",""sell-public-sector-contracts"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""join-family-uk-no"",""living-row"",""nationality-row""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""medical-tech"",""import-from-eu"",""export-to-eu"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""ip"",""ip-copyright"",""ip-trade-marks"",""ip-designs"",""ip-patents"",""ip-exhaustion-rights"",""sell-public-sector"",""sell-public-sector-contracts"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""join-family-uk-no"",""living-row"",""nationality-row""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-6e218dcdbe,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""finance"",""insurance"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-bring-pet"",""visiting-ie"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""finance"",""insurance"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-bring-pet"",""visiting-ie"",""travel-eu-business"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-fe0892aa33,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""consumer-goods"",""import-from-eu"",""ip"",""sell-public-sector"",""eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""join-family-uk-yes"",""visiting-driving"",""visiting-uk"",""living-row"",""nationality-row""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""consumer-goods"",""import-from-eu"",""ip"",""sell-public-sector"",""eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""join-family-uk-yes"",""visiting-driving"",""visiting-uk"",""living-row"",""nationality-row""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
get-ready-for-2021-0a57402041,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""install-service-repair"",""media"",""creative"",""digital"",""education"",""import-from-eu"",""haulage-goods-across-eu-borders"",""do-not-ip"",""sell-public-sector"",""sell-public-sector-contracts"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-eu"",""travel-eu-business-no"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""install-service-repair"",""media"",""creative"",""digital"",""education"",""import-from-eu"",""haulage-goods-across-eu-borders"",""do-not-ip"",""sell-public-sector"",""sell-public-sector-contracts"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""visiting-eu"",""travel-eu-business-no"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
